,Unnamed: 0,Book Id,Category
1768,1768,35959740,Magic
1771,1771,35959740,Mythical Animals
1773,1773,35959740,Mythology
1776,1776,35959740,Paranormal Fiction
1781,1781,35959740,Witches
1785,1785,597790,British And Irish Fiction (Fictional Works By One Author)
1787,1787,597790,English Fiction
1788,1788,597790,Epic
1790,1790,597790,Fantasy
1791,1791,597790,Fantasy Fiction
1794,1794,597790,Incest
1795,1795,597790,Middle Earth (Imaginary Place)
1797,1797,597790,Novela Fantástica
1799,1799,597790,Roman
1802,1802,597790,Vengeance
1803,1803,7332,Action & Adventure
1805,1805,7332,British And Irish Fiction (Fictional Works By One Author)
1807,1807,7332,Elves
1809,1809,7332,English Fantasy Fiction
1810,1810,7332,English Fiction
1811,1811,7332,English Literature
1812,1812,7332,Epic
1814,1814,7332,Fantasy
1815,1815,7332,Fantasy Fiction
1819,1819,7332,Middle Earth (Imaginary Place)
1820,1820,7332,Short Stories
1822,1822,17184,1866-1946
1823,1823,17184,20Th Century
1824,1824,17184,Adaptations
1826,1826,17184,British And Irish Fiction (Fictional Works By One Author)
1828,1828,17184,Children'S Fiction
1829,1829,17184,Ciencia-Ficción
1830,1830,17184,Classic Literature
1832,1832,17184,Comic Books
1834,1834,17184,England
1835,1835,17184,English Fiction
1836,1836,17184,English Language
1837,1837,17184,English Literature
1838,1838,17184,English Science Fiction
1839,1839,17184,Experiments
1841,1841,17184,Fiction / Classics
1842,1842,17184,Fiction / Horror
1843,1843,17184,Fiction / Science Fiction / General
1844,1844,17184,French
1846,1846,17184,German
1847,1847,17184,H. G. (Herbert George)
1848,1848,17184,Historical
1849,1849,17184,History And Criticism
1850,1850,17184,Horror Tales
1851,1851,17184,Juvenile Fiction
1852,1852,17184,Korean
1853,1853,17184,Literature And Fiction
1855,1855,17184,Mentally Ill
1858,1858,17184,Psychological Fiction
1859,1859,17184,Readers
1862,1862,17184,Roman Pour La Jeunesse
1863,1863,17184,Science
1866,1866,17184,Science Fiction
1867,1867,17184,Science Fiction & Fantasy
1870,1870,17184,Spanish Language
1871,1871,17184,Strips
1872,1872,17184,Time Travel
1873,1873,17184,Wells
1874,1874,5129,American Fiction (Fictional Works By One Author)
1878,1878,5129,Audiobooks
1879,1879,5129,Brainwashing
1880,1880,5129,British And Irish Fiction (Fictional Works By One Author)
1885,1885,5129,Ciencia-Ficción
1887,1887,5129,Classics
1891,1891,5129,Control (Psychology)
1894,1894,5129,Dystopia
1895,1895,5129,Dystopian
1896,1896,5129,Dystopias
1898,1898,5129,English Fiction
1899,1899,5129,English Literature
1900,1900,5129,English Science Fiction
1902,1902,5129,Ethics
1905,1905,5129,Fiction In English
1909,1909,5129,Genetic Engineering
1910,1910,5129,Gesellschaft
1911,1911,5129,History And Criticism
1915,1915,5129,Literature
1918,1918,5129,Moral And Ethical Aspects
1922,1922,5129,Nouvelles
1925,1925,5129,Political
1926,1926,5129,Political Fiction
1928,1928,5129,Psychological
1929,1929,5129,Psychological Fiction
1936,1936,5129,Roman
1938,1938,5129,Satire
1939,1939,5129,Science
1941,1941,5129,Science Fiction
1942,1942,5129,Science-Fiction
1944,1944,5129,Social Problems
1946,1946,5129,Totalitarianism
1947,1947,5129,Totalitarisme
1949,1949,5129,Utopias
1951,1951,8908,Epidemics
1954,1954,8908,Guerras Imaginarias
1955,1955,8908,Guerres Et Batailles Imaginaires
1956,1956,8908,Habiletés De Survie
1957,1957,8908,Horror
1958,1958,8908,Horror Fiction
1959,1959,8908,Horror Tales
1960,1960,8908,Humor
1961,1961,8908,Imaginary Wars And Battles
1964,1964,8908,Nouvelles
1969,1969,8908,Survival
1970,1970,8908,War
1971,1971,8908,War & Military
1973,1973,8908,War Stories
1975,1975,43263680,Dark Fantasy
1976,1976,43263680,Fantasy
1979,1979,43263680,Magic
1982,1982,43263680,Occult & Supernatural
1983,1983,43263680,Paranormal
1984,1984,43263680,Secret Societies
1985,1985,43263680,Thrillers
1992,1992,7015403,Self-Acceptance
1994,1994,7015403,Self-Help
1997,1997,13588356,Business & Economics
2005,2005,33,British And Irish Fiction (Fictional Works By One Author)
2006,2006,33,English
2007,2007,33,English Fantasy Fiction
2008,2008,33,English Language
2009,2009,33,English Literature
2010,2010,33,Epic
2011,2011,33,Fantasy
2012,2012,33,Fantasy Fiction
2016,2016,33,Fiction In English
2028,2028,33,Middle Earth (Imaginary Place)
2030,2030,33,Nouvelles
2033,2033,33,Quests (Expeditions)
2038,2038,33,Wizards
2044,2044,13497818,City And Town Life
2048,2048,13497818,Death
2051,2051,13497818,England
2053,2053,13497818,English Literature
2056,2056,13497818,Humorous
2063,2063,13497818,Polish Language Materials
2064,2064,13497818,Psychological
2065,2065,13497818,Roman
2067,2067,13497818,Spanish Language Materials
2071,2071,61439040,Adaptations
2074,2074,61439040,Brainwashing
